"(-1.6148013531515124, 53.79492290950332)"
"(-1.6135390841361068, 53.795470741200575)"
"(-1.6128061994335716, 53.79527256245295)"
"(-1.6136076581433616, 53.795128661961044)"
"(-1.6133719349934235, 53.79504787571997)"
"(-1.6132840745466281, 53.795016318594556)"
"(-1.6118096546962783, 53.79480425471175)"
"(-1.6114882140372717, 53.79454927313837)"
"(-1.6225055290565293, 53.79675197386277)"
"(-1.622359809291113, 53.796748187007715)"
"(-1.6238448651357236, 53.79609684793909)"
"(-1.622462670301995, 53.79584312865074)"
"(-1.61386266773284, 53.796673712191726)"
"(-1.6134426519384049, 53.796480582584174)"
"(-1.6131726417848393, 53.79597693086251)"
"(-1.6131533553452988, 53.795915078896684)"
"(-1.612433328269124, 53.795859538355955)"
"(-1.611648934366775, 53.795980717717555)"
"(-1.6247106906716877, 53.797755503821286)"
"(-1.6239134391429784, 53.797420998291855)"
"(-1.6134812248174857, 53.79736167089607)"
"(-1.6599184310825337, 53.83883574862289)"
"(-1.661324198231256, 53.84005386703425)"
"(-1.6645966215286891, 53.84419041514471)"
"(-1.6645516198364283, 53.84416769401441)"
"(-1.6711521041178163, 53.844949061809984)"
"(-1.6683940645691666, 53.84551077864242)"
"(-1.6684090651332535, 53.8454716478069)"
"(-1.6684262086350672, 53.84696115749686)"
"(-1.6666153475616237, 53.84667588108308)"
"(-1.6666882074443319, 53.84659130798696)"
"(-1.6691569503998755, 53.847732427012296)"
"(-1.6641208893533594, 53.847890212639385)"
"(-1.526860219351423, 53.77862663612455)"
"(-1.5279317669091512, 53.780122457239585)"
"(-1.5276360415028651, 53.78092780845048)"
"(-1.5211811982925207, 53.7811638557486)"
"(-1.530659805329627, 53.78257762833755)"
"(-1.526845218787336, 53.781969206959495)"
"(-1.5237828820814934, 53.782253221088254)"
"(-1.5237164510119654, 53.78224059823809)"
"(-1.5231527796954676, 53.782258270228326)"
"(-1.5231656373218279, 53.78221661482277)"
"(-1.5284632154653754, 53.78388915584014)"
"(-1.5283967843958475, 53.783871483849914)"
"(-1.528874659508904, 53.78374777991827)"
"(-1.5292475306733517, 53.78366825596222)"
"(-1.5292196724829046, 53.78364553483192)"
"(-1.529200386043364, 53.78363038741172)"
"(-1.5291618131642832, 53.7836064039964)"
"(-1.5291532414133764, 53.78358746972115)"
"(-1.5290953820947553, 53.78354707660062)"
"(-1.5290482374647676, 53.78350289662503)"
"(-1.5290118075234136, 53.78347386406965)"
"(-1.5289475193916122, 53.78344230694423)"
"(-1.5289218041388917, 53.78339055325854)"
"(-1.526830218223249, 53.7841125802881)"
"(-1.5268987922305037, 53.78406840031252)"
"(-1.5237893108946734, 53.78396363065613)"
"(-1.525681603601732, 53.78457963911452)"
"(-1.5238857430923756, 53.785037848575584)"
"(-1.525216507420663, 53.78466168764061)"
"(-1.5296461957848928, 53.78795122913462)"
"(-1.5303469364215272, 53.787284742645795)"
"(-1.5259023261875833, 53.787583904194754)"
"(-1.5264123453665404, 53.787433692277766)"
"(-1.526577351571497, 53.78738446316211)"
"(-1.526200194531596, 53.78732766033636)"
"(-1.5263523431101924, 53.787299890065995)"
"(-1.5186310237033618, 53.787948704564585)"
"panel_lon_lat"
"(-1.4356253115710067, 53.80896850195686)"
"(-1.4256195418531294, 53.809303007486285)"
"(-1.4255488249081478, 53.8092966960612)"
"(-1.4325221803539836, 53.810526175037715)"
"(-1.4318235826550758, 53.809887458819254)"
"(-1.4296548509812717, 53.810086899851896)"
"(-1.43005986621162, 53.80964257552601)"
"(-1.4300041498307254, 53.80963500181591)"
"(-1.427430402926573, 53.81042897909143)"
"(-1.4283882960904126, 53.810408782531155)"
"(-1.428334722647245, 53.81038479911584)"
"(-1.425955983076223, 53.8103141111549)"
"(-1.4362596211381131, 53.81171904774874)"
"(-1.434245180980632, 53.81093895560841)"
"(-1.4295927057871969, 53.81179099799469)"
"(-1.430023436270266, 53.811096741235495)"
"(-1.428666877994885, 53.81112072465081)"
"(-1.428733309064413, 53.81110683951563)"
"(-1.4364203414676162, 53.81247895669903)"
"(-1.4352352969047453, 53.812284564806454)"
"(-1.435976753358187, 53.812149500309665)"
"(-1.4332315714358976, 53.81285133077896)"
"(-1.433325860695873, 53.81263800461114)"
"(-1.4317978674023553, 53.81279200338317)"
"(-1.4305891718301176, 53.81225553225107)"
"(-1.4358760352850317, 53.813782910491526)"
"(-1.4333022883808793, 53.81348501122758)"
"(-1.4332315714358976, 53.81343578211193)"
"(-1.4325586102953376, 53.81371348481561)"
"(-1.4325693249839713, 53.81369202597032)"
"(-1.6036640336195578, 53.77849914533786)"
"(-1.5993394278983095, 53.778473899637525)"
"(-1.6098873608610447, 53.77968949347885)"
"(-1.5951841142574714, 53.78010604753437)"
"(-1.6066600179502453, 53.78111336434793)"
"(-1.6054813235061816, 53.78087984161984)"
"(-1.605582041579337, 53.780855858204525)"
"(-1.6056613302752252, 53.78081672736901)"
"(-1.6025711353789354, 53.782476645536214)"
"(-1.5951519701915708, 53.78228730278371)"
"(-1.5949119611661793, 53.78228477821367)"
"(-1.5948069572175705, 53.78228477821367)"
"(-1.5947040962066883, 53.78227215536351)"
"(-1.5950341086166018, 53.782258270228326)"
"(-1.609107331528522, 53.78397499122128)"
"(-1.6095852066415786, 53.78385254957466)"
"(-1.6093323399898265, 53.783603879426366)"
"(-1.6094159145611684, 53.783581158296066)"
"(-1.6074679054732153, 53.78380963188409)"
"(-1.6068721687851897, 53.783341324142896)"
"(-1.6099452201796658, 53.78449885287345)"
"(-1.607470048410942, 53.78485607953318)"
"(-1.6041933392380554, 53.78519310963264)"
"(-1.6095552055134046, 53.78597700199825)"
"(-1.6094737738797895, 53.785910100892366)"
"(-1.6050655935871996, 53.78636073664333)"
"(-1.6054148924366534, 53.7859353465927)"
"(-1.602048179879245, 53.786499587995166)"
"(-1.5996737261836764, 53.787740427536825)"
"(-1.5138456863708702, 53.828925441994826)"
"(-1.5130677212817012, 53.82888757344433)"
"(-1.5134298777575155, 53.82887116373911)"
"(-1.5130055760876266, 53.82879668892312)"
"(-1.50319481370288, 53.828522773074496)"
"(-1.504720664058671, 53.83034678829387)"
"(-1.5047463793113915, 53.83019278952183)"
"(-1.5047699516263855, 53.83020667465702)"
"(-1.5108304156006422, 53.83180726542844)"
"(-1.5104961173152753, 53.83129351542664)"
"(-1.5153243134023007, 53.832958482733915)"
"(-1.5139849773231064, 53.834437894143726)"
"(-1.5148742964796913, 53.83423466625604)"
"(-1.5150050156810206, 53.83420310913062)"
"(-1.5023547821140095, 53.83396958640253)"
"(-1.5142635592275788, 53.83542501439703)"
"(-1.513307730307093, 53.834998362061384)"
"(-1.5103161105462317, 53.835027394616766)"
"(-1.5094052833180067, 53.8356875696805)"
"(-1.5147200049633682, 53.83654088772204)"
"(-1.5089638381463042, 53.83681101671561)"
"(-1.506737247153879, 53.83665196880351)"
"(-1.5071251188824135, 53.83652700258685)"
"(-1.5066643872711707, 53.83622784103789)"
"(-1.5026012199525811, 53.836544674577084)"
"(-1.515062874999642, 53.83774764556824)"
"(-1.5134834512006832, 53.838223527019544)"
"(-1.5133120161825462, 53.837812022104096)"
